International Movies,12.588628150587805
Dramas,11.10196239879237
Comedies,7.657472210786331
International TV Shows,6.179955171309638
Adventure,4.697863775673574
Documentaries,3.9751155024930243
Action,3.9293719408993186
TV Dramas,3.4902337495997435
Independent Movies,3.45821325648415
Children,2.9321622981565345
Family Movies,2.9321622981565345
Romantic Movies,2.81780339417227
TV Comedies,2.6577009285943003
Thrillers,2.639403503956818
Crime TV Shows,2.149947394904167
Kids' TV,2.0630346278761267
Stand-Up Comedy,1.8251681075888568
Docuseries,1.8068706829513745
Music,1.715383559763963
Musicals,1.715383559763963
Romantic TV Shows,1.6925117789671102
Horror Movies,1.633045148895293
Fantasy,1.495814464114176
Reality TV,1.1664608206394949
British TV Shows,1.1573121083207538
Sci-Fi,1.1115685467270482
Sports Movies,1.0017839989021546
Anime Series,0.80508668404922
Spanish-Language TV Shows,0.795937971730479
TV Action,0.7684918347742555
Korean TV Shows,0.6907277800649558
Classic Movies,0.5306253144869859
LGBTQ Movies,0.466584328255798
TV Mysteries,0.44828690361831575
Science,0.42084076666209236
Nature TV,0.42084076666209236
TV Sci-Fi,0.38424591738712777
TV Horror,0.34307671195279266
Anime Features,0.32477928731531036
Cult Movies,0.32477928731531036
Teen TV Shows,0.3156305749965692
Spirituality,0.297333150359087
Faith,0.297333150359087
TV Thrillers,0.26073830108412244
Talk Shows,0.2561639449247518
Classic,0.1280819724623759
Cult TV,0.1280819724623759
